nappy run log  2026-09-12T20:50:23  version v0.8.2-870-g6ff43b3

day 1  act 1  run seed 3265820891  city seed 3265820891  length 180.0s  invincible
   0.0  plan     regions: 0 boundary, 0 wall, 0 door, calm by region: [1, 1, 1, 0]
   0.0  plan     closed: roadworks h(1,9)
   0.0  plan     calm: 1 forest, 2 courtyard, 2 quiet_square, 3 park
   0.0  plan     events: alley_mouse x4, burst_water_main x17, cafe_tables x56, car_accident x26, cat_dash x8, chatting_mother x2, delivery_van x69, dog_walker x22, homeless_yeller x8, leaf_blower x15, loose_dog x11, market_stall x52, moving_van x42, pigeon_flock x5, playground x3, scaffolding x23, skip x20
   0.0  start    doorstep (80,84), facing 180°
   0.0  crowd    walked into somebody at (79,84) | exc 0, in 0.0/s (crowd 26.4, events 0.0), sleep 0
   0.0  path     onto the corridor at (75,85), after 0.0s off it
   0.0  cross    stepped into the road at (73,85), at a zebra
   0.0  path     off the corridor at (73,86), after 0.0s on it
   0.0  crowd    a car sounded its horn at her in the road at (73,86) | exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 1
   0.0  path     onto the corridor at (71,87), after 0.0s off it
   0.0  path     off the corridor at (69,87), after 0.0s on it
   0.0  cue      the mark over her head: soon for 0.0s (1.6s of it on the road) | a car, and she is in the road
   0.0  crowd    a car sounded its horn at her in the road at (67,87) | exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 2
   0.0  near     market_stall at (66,89), 63px, exc 0, in 0.0/s (crowd 11.9, events 3.2), sleep 2
   0.0  near     market_stall at (66,85), 64px, exc 0, in 0.0/s (crowd 22.4, events 4.5), sleep 2
   0.0  cue      the mark over her head: soon for 0.0s (2.2s of it on the road) | a car, and she is in the road
   0.0  cross    stepped into the road at (59,85), at a zebra
   0.0  near     cafe_tables at (52,89), 64px, exc 0, in 0.0/s (crowd 0.0, events 0.1), sleep 4
   0.0  cross    stepped into the road at (53,87), mid-block
   0.0  path     onto the corridor at (47,87), after 0.0s off it
   0.0  path     off the corridor at (43,98), after 0.0s on it
   0.0  path     onto the corridor at (41,99), after 0.0s off it
   0.0  ahead    pigeon_flock crosses 184px in front of her at (37,99)
   0.0  path     off the corridor at (31,99), after 0.0s on it
   0.0  cross    stepped into the road at (31,99), at a zebra
   0.0  cross    stepped into the road at (29,100), at a zebra
   0.0  near     delivery_van at (24,99), 149px, exc 0, in 0.0/s (crowd 9.1, events 0.0), sleep 2
   0.0  near     delivery_van at (24,102), 150px, exc 0, in 0.0/s (crowd 6.3, events 0.0), sleep 2
   0.0  near     delivery_van at (24,102), 82px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 2
   0.0  near     delivery_van at (24,99), 82px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 2
   0.0  turn     doubled back 45°
   0.0  shot     burst started: asked for an animation burst at (28,98) | exc 0, sleep 0 | playing | asked/burst-88125247-001
   0.0  shot     burst complete: 36 frames | duration
   0.0  shot     burst started: asked for an animation burst at (28,98) | exc 0, sleep 0 | playing | asked/burst-98341701-002
   0.0  near     delivery_van at (24,102), 150px, exc 0, in 0.0/s (crowd 2.2, events 0.0), sleep 0
   0.0  cross    stepped into the road at (27,100), mid-block
   0.0  shot     burst complete: 36 frames | duration
   0.0  cross    stepped into the road at (30,102), at a zebra
   0.0  path     onto the corridor at (32,102), after 0.0s off it
   0.0  path     off the corridor at (42,102), after 0.0s on it
   0.0  cross    stepped into the road at (44,102), at a zebra
   0.0  near     moving_van at (52,102), 120px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 4
   0.0  near     moving_van at (52,102), 65px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 4
   0.0  near     moving_van at (52,99), 120px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 4
   0.0  cross    stepped into the road at (54,101), mid-block
   0.0  cross    stepped into the road at (58,99), at a zebra
