nappy rig log  2026-09-19T15:57:15  version v0.12.0-15-ge29c0eb9-dirty
   0.0  texture  transfer res://assets/illustrated/svg-transfer/props/litter_apple.png read from disk in 0.3 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/props/litter_newspaper.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/props/litter_cup.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/props/litter_bag.png read from disk in 0.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/props/litter_can.png read from disk in 0.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/props/tree_a.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/props/tree_b.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/props/tree_pit.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/props/bollard.png read from disk in 0.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/props/garbage_sack.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/props/garbage_sacks_pile.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/road.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/road_line_e.png read from disk in 0.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/road_line_w.png read from disk in 0.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/road_line_n.png read from disk in 0.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/road_line_s.png read from disk in 0.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/crossing_v.png read from disk in 0.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/crossing_h.png read from disk in 0.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/sidewalk.png read from disk in 0.1 ms
