nappy rig log  2026-09-24T16:50:19  version v0.16.0-21-gd5c37ac8

escape  run seed 1219710399  length 180.0s  invincible
   0.0  texture  atlas page 'ui' loaded in the escape: 0.9 ms, 262 x 420
   0.0  texture  atlas page 'stroller' loaded in the escape: 0.5 ms, 104 x 66
   0.0  texture  atlas page 'buildings' loaded in the escape: 2.5 ms, 332 x 576
   0.0  texture  atlas page 'street_kit' loaded in the escape: 1.8 ms, 390 x 454
   0.0  texture  atlas page 'ground' loaded in the escape: 1.5 ms, 172 x 308
   0.0  texture  atlas page 'decoration' loaded in the escape: 0.8 ms, 144 x 196
   0.0  texture  atlas page 'crowd' loaded in the escape: 0.8 ms, 194 x 250
   0.0  texture  atlas page 'events' loaded in the escape: 9.7 ms, 798 x 860
   0.0  texture  atlas page 'interior' loaded in the escape: 1.4 ms, 466 x 326
   0.0  texture  atlas page 'father' loaded in the escape: 1.3 ms, 168 x 242
   0.0  start    entered the building at (386,11), facing 0°
   0.0  shot     burst started: asked for an animation burst at (0,0) | exc 0, sleep 100 | playing | asked/burst-3544921-001
   0.0  frame    fps 498, worst frame 29.2ms, draws 97, objects 882, primitives 1820, process 29.16ms, physics 22.75ms
   0.0  frame    fps 392, worst frame 30.4ms, draws 99, objects 886, primitives 1852, process 30.23ms, physics 0.32ms
   0.0  frame    fps 402, worst frame 29.1ms, draws 97, objects 880, primitives 1816, process 29.04ms, physics 0.16ms
   0.0  shot     burst complete: 36 frames | frame_cap
   0.0  frame    fps 498, worst frame 30.2ms, draws 100, objects 884, primitives 1848, process 30.03ms, physics 0.25ms
