nappy rig log  2026-09-24T15:29:35  version v0.16.0-17-ge0781bb7

escape  run seed 1169072229  length 180.0s  invincible
   0.0  texture  atlas page 'ui' loaded in the escape: 1.0 ms, 262 x 420
   0.0  texture  atlas page 'stroller' loaded in the escape: 0.6 ms, 104 x 66
   0.0  texture  atlas page 'buildings' loaded in the escape: 2.8 ms, 332 x 576
   0.0  texture  atlas page 'street_kit' loaded in the escape: 2.2 ms, 390 x 454
   0.0  texture  atlas page 'ground' loaded in the escape: 1.9 ms, 172 x 308
   0.0  texture  atlas page 'decoration' loaded in the escape: 1.0 ms, 144 x 196
   0.0  texture  atlas page 'crowd' loaded in the escape: 0.9 ms, 194 x 250
   0.0  texture  atlas page 'events' loaded in the escape: 11.4 ms, 638 x 1086
   0.0  texture  atlas page 'interior' loaded in the escape: 1.8 ms, 466 x 326
   0.0  texture  atlas page 'mother' loaded in the escape: 1.6 ms, 168 x 242
   0.0  start    entered the building at (386,11), facing 0°
