nappy rig log  2026-09-11T21:40:34  version v0.8.2-624-gc5860ee

day 1  act 1  run seed 4242  city seed 4242  length 180.0s
   0.0  plan     regions: 0 boundary, 0 wall, 0 door, calm by region: [1, 1, 1, 1]
   0.0  plan     closed: roadworks h(6,5)
   0.0  plan     calm: 2 forest, 2 park, 2 quiet_square, 3 courtyard
   0.0  plan     events: alley_mouse x4, burst_water_main x22, cafe_tables x66, car_accident x21, cat_dash x8, chatting_mother x2, delivery_van x38, dog_walker x23, fallen_tree x16, homeless_yeller x5, leaf_blower x15, loose_dog x12, market_stall x42, moving_van x34, pigeon_flock x5, playground x2, scaffolding x26, skip x23
   0.0  start    doorstep (88,73), facing 180°
   0.1  closure  saw the roadworks on h(6,5) from (88,73)
   1.6  crowd    walked into somebody at (88,73) | exc 11, in 5.3/s (crowd 23.3, events 0.0), sleep 0
   3.0  shot     burst started: asked for an animation burst at (88,73) | exc 24, sleep 0 | playing | asked/burst-5482274-001
   6.0  shot     burst complete: 36 frames | duration
   7.7  crowd    walked into somebody at (88,73) | exc 29, in 9.6/s (crowd 27.6, events 0.0), sleep 0
   8.0  freeze   sleep stopped filling | exc 35, in 25.7/s (crowd 25.2, events 0.0), sleep 0 | near: car_accident 171px (out of range)
