nappy rig log  2026-09-13T06:57:40  version v0.9.0-3-g2e02e507

day 1  act 1  run seed 3265820891  city seed 3265820891  length 180.0s  invincible
   0.0  plan     regions: 0 boundary, 0 wall, 0 door, calm by region: [1, 1, 1, 0]
   0.0  plan     closed: roadworks h(1,9)
   0.0  plan     calm: 1 forest, 2 courtyard, 2 quiet_square, 3 park
   0.0  plan     events: alley_mouse x4, burst_water_main x17, cafe_tables x56, car_accident x26, cat_dash x8, chatting_mother x2, delivery_van x69, dog_walker x22, homeless_yeller x8, leaf_blower x15, loose_dog x11, market_stall x52, moving_van x42, pigeon_flock x5, playground x3, scaffolding x23, skip x20
   0.0  start    doorstep (18,129), facing 180°
   0.0  closure  saw the roadworks on h(1,9) from (18,129)
   0.0  shot     burst started: asked for an animation burst at (18,129) | exc 0, sleep 0 | playing | asked/burst-5739058-001
   0.0  shot     burst complete: 36 frames | duration
