nappy rig log  2026-09-14T04:57:10  version v0.10.4-5-gdd280ae5-dirty

day 1  act 1  run seed 3265820891  city seed 3265820891  length 180.0s
   0.0  plan     regions: 0 boundary, 0 wall, 0 door, calm by region: [1, 1, 1, 0]
   0.0  plan     closed: roadworks h(1,9)
   0.0  plan     calm: 1 forest, 2 courtyard, 2 quiet_square, 3 park
   0.0  plan     events: alley_mouse x4, burst_water_main x17, cafe_tables x56, car_accident x26, cat_dash x8, chatting_mother x2, delivery_van x69, dog_walker x22, homeless_yeller x8, leaf_blower x15, loose_dog x11, market_stall x52, moving_van x42, pigeon_flock x5, playground x3, scaffolding x23, skip x20
   0.0  start    doorstep (80,84), facing 180°
   0.6  cross    stepped into the road at (80,86), mid-block
   1.0  frame    fps 1, worst frame 142.9ms, draws 768, objects 1928, primitives 4612, process 20.69ms, physics 1.68ms
   2.0  frame    fps 78, worst frame 12.5ms, draws 564, objects 1681, primitives 3950, process 23.86ms, physics 1.93ms
   2.7  blocked  pressed 180° for 1.0s at (80,89) without moving
   3.0  frame    fps 117, worst frame 18.4ms, draws 798, objects 2130, primitives 4874, process 13.55ms, physics 1.83ms
   4.0  frame    fps 98, worst frame 18.7ms, draws 496, objects 1607, primitives 3856, process 24.48ms, physics 2.33ms
   4.5  path     onto the corridor at (84,89), after 4.5s off it
   5.0  frame    fps 117, worst frame 18.2ms, draws 594, objects 1852, primitives 4316, process 23.00ms, physics 1.95ms
   5.2  cross    stepped into the road at (86,89), at a signalled crossing
   5.3  crowd    a car sounded its horn at her in the road at (86,89) | exc 2, in 3.3/s (crowd 3.3, events 0.0), sleep 2
   5.8  crowd    a car sounded its horn at her in the road at (87,89) | exc 7, in 24.8/s (crowd 24.8, events 0.0), sleep 2
   5.9  cue      the mark over her head: soon for 0.6s (0.6s of it on the road) | a car, and she is in the road
   6.0  frame    fps 111, worst frame 23.8ms, draws 601, objects 1937, primitives 4537, process 23.38ms, physics 2.03ms
   7.0  frame    fps 105, worst frame 16.5ms, draws 509, objects 1604, primitives 3949, process 24.24ms, physics 1.92ms
   8.0  frame    fps 101, worst frame 17.6ms, draws 504, objects 1550, primitives 3820, process 23.62ms, physics 1.89ms
   9.0  frame    fps 114, worst frame 9.1ms, draws 494, objects 1535, primitives 3655, process 24.23ms, physics 2.11ms
   9.5  near     leaf_blower at (104,89), 200px, exc 14, in 0.0/s (crowd 0.0, events 0.0), sleep 4
  10.0  frame    fps 119, worst frame 11.9ms, draws 471, objects 1514, primitives 3346, process 13.04ms, physics 1.83ms
  10.1  cross    stepped into the road at (100,89), at a zebra
  10.5  near     leaf_blower at (104,89), 109px, exc 18, in 14.9/s (crowd 0.0, events 14.8), sleep 4
  10.8  path     off the corridor at (102,89), after 6.3s on it
  10.8  near     cafe_tables at (103,91), 63px, exc 21, in 14.3/s (crowd 0.0, events 14.2), sleep 5
  11.0  near     leaf_blower at (104,89), 59px, exc 22, in 14.3/s (crowd 0.0, events 14.2), sleep 5
  11.0  frame    fps 118, worst frame 8.3ms, draws 575, objects 1738, primitives 3770, process 12.16ms, physics 1.93ms
  11.4  near     leaf_blower at (104,89), 31px, exc 24, in 8.7/s (crowd 0.0, events 8.6), sleep 5
  11.4  near     delivery_van at (108,88), 149px, exc 25, in 7.8/s (crowd 0.0, events 7.8), sleep 5
  12.1  frame    fps 120, worst frame 12.8ms, draws 551, objects 1686, primitives 3666, process 9.46ms, physics 1.72ms
  12.6  blocked  pressed 90° for 1.0s at (104,89) without moving
  13.1  frame    fps 119, worst frame 32.3ms, draws 553, objects 1693, primitives 3704, process 12.86ms, physics 1.83ms
  13.8  freeze   sleep stopped filling | exc 35, in 19.6/s (crowd 0.0, events 19.7), sleep 6 | near: leaf_blower 25px
  14.1  frame    fps 113, worst frame 22.2ms, draws 554, objects 1744, primitives 3806, process 23.96ms, physics 2.08ms
  15.1  frame    fps 112, worst frame 8.6ms, draws 556, objects 1745, primitives 3832, process 23.82ms, physics 2.19ms
  15.6  blocked  pressed 90° for 4.0s at (104,89) without moving
  16.1  frame    fps 120, worst frame 19.0ms, draws 554, objects 1738, primitives 3794, process 8.96ms, physics 1.87ms
  17.1  frame    fps 114, worst frame 20.8ms, draws 554, objects 1742, primitives 3802, process 23.95ms, physics 2.01ms
  18.1  frame    fps 110, worst frame 9.0ms, draws 554, objects 1744, primitives 3806, process 23.83ms, physics 1.88ms
  18.6  blocked  pressed 90° for 7.0s at (104,89) without moving
  19.1  frame    fps 120, worst frame 18.9ms, draws 552, objects 1737, primitives 3768, process 9.18ms, physics 1.82ms
