nappy rig log  2026-09-19T19:11:53  version v0.13.0-33-gad2d5090-dirty
   0.0  texture  transfer res://assets/illustrated/svg-transfer/props/litter_apple.png read from disk in 2.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/props/litter_newspaper.png read from disk in 1.3 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/props/litter_cup.png read from disk in 1.0 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/props/litter_bag.png read from disk in 1.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/props/litter_can.png read from disk in 1.0 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/props/tree_a.png read from disk in 1.7 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/props/tree_b.png read from disk in 1.5 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/props/tree_pit.png read from disk in 1.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/props/bollard.png read from disk in 1.0 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/props/garbage_sack.png read from disk in 1.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/props/garbage_sacks_pile.png read from disk in 1.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/road.png read from disk in 1.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/road_line_e.png read from disk in 1.3 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/road_line_w.png read from disk in 1.3 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/road_line_n.png read from disk in 1.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/road_line_s.png read from disk in 0.9 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/crossing_v.png read from disk in 0.9 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/crossing_h.png read from disk in 1.0 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/sidewalk.png read from disk in 0.9 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/sidewalk_kerb_n.png read from disk in 1.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/sidewalk_kerb_s.png read from disk in 1.0 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/sidewalk_kerb_e.png read from disk in 1.0 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/sidewalk_kerb_w.png read from disk in 1.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/grass.png read from disk in 1.0 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/sand.png read from disk in 1.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/alley.png read from disk in 0.9 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/plaza.png read from disk in 0.9 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/stoop.png read from disk in 1.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/forest.png read from disk in 1.0 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/quiet_square.png read from disk in 0.9 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/courtyard.png read from disk in 1.0 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/spoiled.png read from disk in 1.0 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/road_main.png read from disk in 1.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/road_main_line_e.png read from disk in 1.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/road_main_line_w.png read from disk in 1.0 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/road_main_line_n.png read from disk in 1.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/road_main_line_s.png read from disk in 1.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/sidewalk_kerb_main_n.png read from disk in 1.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/sidewalk_kerb_main_s.png read from disk in 1.0 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/sidewalk_kerb_main_e.png read from disk in 0.9 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/sidewalk_kerb_main_w.png read from disk in 1.0 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/precinct.png read from disk in 1.0 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/water.png read from disk in 1.0 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/bulkhead.png read from disk in 1.0 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/fence.png read from disk in 0.9 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/mountain.png read from disk in 1.0 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/scree.png read from disk in 1.0 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/crossing_main_n.png read from disk in 0.9 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/crossing_main_s.png read from disk in 0.9 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/crossing_main_w.png read from disk in 0.9 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/crossing_main_e.png read from disk in 0.9 ms
   0.0  texture  ground packed: 66 sources over 65 pictures into 2035x100 in 3.7 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/props/roof_duct_corner.png read from disk in 2.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/props/roof_hvac_unit.png read from disk in 1.6 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/props/roof_water_tank.png read from disk in 1.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/props/roof_hvac_unit_b.png read from disk in 1.2 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/props/roof_duct_straight.png read from disk in 1.3 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/props/roof_skylight.png read from disk in 1.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/props/roof_vent_stack.png read from disk in 1.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/props/roof_skylight_b.png read from disk in 1.1 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/alley_draft.png read from disk in 1.3 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/layers/main_crosswalk.png read from disk in 0.7 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/layers/alley_base.png read from disk in 0.7 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/layers/main_edge_red.png read from disk in 0.8 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/layers/sidewalk_base.png read from disk in 0.7 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/layers/sidewalk_cracked_hairline_b.png read from disk in 0.7 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/layers/yellow_main_line.png read from disk in 0.7 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/layers/crosswalk.png read from disk in 0.7 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/layers/road_cracked_cracked_a.png read from disk in 0.7 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/layers/yellow_half_line.png read from disk in 0.7 ms
   0.0  texture  transfer res://assets/illustrated/svg-transfer/tiles/layers/alley_cracked_broken_a.png read from disk in 0.8 ms
