nappy run log  2026-09-20T18:25:17  version v0.14.0-8-g13493987
   0.0  texture  atlas page 'ui' loaded in the startup: 0.6 ms, 262 x 420
   0.0  texture  atlas page 'stroller' loaded in the startup: 0.2 ms, 104 x 66
   0.0  texture  atlas page 'buildings' loaded in the startup: 0.9 ms, 240 x 338
   0.0  texture  atlas page 'street_kit' loaded in the startup: 0.4 ms, 454 x 358
   0.0  texture  atlas page 'ground' loaded in the startup: 1.1 ms, 172 x 308
   0.0  texture  atlas page 'decoration' loaded in the startup: 0.4 ms, 144 x 162
   0.0  texture  atlas page 'crowd' loaded in the startup: 0.4 ms, 190 x 218
   0.0  texture  atlas page 'events' loaded in the startup: 6.8 ms, 582 x 936
   0.0  texture  atlas page 'father' loaded in the startup: 0.9 ms, 168 x 242
   0.0  texture  ground composed: 66 sources over 65 pictures into 424x444 in 21.7 ms

day 1  act 1  run seed 2609743060  city seed 2609743060  length 180.0s
   0.0  texture  ground composed: 66 sources over 65 pictures into 424x444 in 22.2 ms
   0.0  plan     regions: 0 boundary, 0 wall, 0 door, calm by region: [1, 1, 1, 0]
   0.0  plan     closed: accident v(1,4)
   0.0  plan     calm: 1 park, 1 quiet_square, 2 courtyard, 4 forest
   0.0  plan     events: alley_mouse x4, burst_water_main x18, cafe_tables x69, car_accident x30, cat_dash x8, chatting_mother x2, delivery_van x50, dog_walker x23, fallen_tree, homeless_yeller x7, leaf_blower x15, loose_dog x12, market_stall x45, moving_van x59, pigeon_flock x5, playground, scaffolding x22, skip x19
   0.0  start    doorstep (80,84), facing 180°
   0.0  save     wrote the save (day under way)
   1.0  frame    fps 80, worst frame 141.3ms, draws 280, objects 2097, primitives 4781, process 108.92ms, physics 8.81ms
   2.0  frame    fps 115, worst frame 17.9ms, draws 455, objects 2282, primitives 5097, process 12.05ms, physics 1.34ms
   2.6  path     onto the corridor at (75,85), after 2.6s off it
   2.8  path     off the corridor at (75,86), after 0.2s on it
   2.8  cross    stepped into the road at (75,86), at a zebra
   3.0  frame    fps 118, worst frame 16.5ms, draws 351, objects 2107, primitives 4730, process 16.31ms, physics 1.42ms
   3.8  path     onto the corridor at (74,88), after 1.0s off it
   4.0  frame    fps 119, worst frame 11.2ms, draws 276, objects 1791, primitives 4145, process 15.44ms, physics 1.27ms
   4.2  path     off the corridor at (73,89), after 0.4s on it
   4.2  cross    stepped into the road at (73,89), at a zebra
   5.0  frame    fps 120, worst frame 15.8ms, draws 356, objects 1990, primitives 4568, process 11.07ms, physics 1.30ms
   6.0  frame    fps 119, worst frame 15.0ms, draws 282, objects 1735, primitives 4191, process 15.75ms, physics 1.27ms
   7.0  frame    fps 119, worst frame 11.4ms, draws 298, objects 1674, primitives 4261, process 15.01ms, physics 1.34ms
   7.9  turn     doubled back 90°
   8.0  frame    fps 119, worst frame 14.2ms, draws 286, objects 1657, primitives 4077, process 14.22ms, physics 1.37ms
   9.1  frame    fps 120, worst frame 14.5ms, draws 286, objects 1794, primitives 4348, process 11.43ms, physics 1.27ms
   9.8  crowd    walked into somebody at (68,89) | exc 1, in 4.2/s (crowd 22.2, events 0.0), sleep 1
  10.1  frame    fps 119, worst frame 15.6ms, draws 362, objects 2010, primitives 4701, process 14.49ms, physics 1.31ms
  11.1  frame    fps 119, worst frame 11.5ms, draws 365, objects 1988, primitives 4705, process 15.57ms, physics 1.18ms
  11.8  idle     stood still 2.4s on sidewalk, exc 0 -> 8, sleep 1 -> 0
  12.1  frame    fps 120, worst frame 16.7ms, draws 359, objects 1929, primitives 4515, process 11.45ms, physics 1.24ms
  12.9  path     onto the corridor at (71,90), after 8.7s off it
  13.1  frame    fps 119, worst frame 16.7ms, draws 585, objects 2313, primitives 5162, process 14.82ms, physics 1.24ms
  14.1  frame    fps 118, worst frame 16.7ms, draws 588, objects 2340, primitives 5237, process 15.45ms, physics 1.21ms
  15.1  frame    fps 119, worst frame 16.7ms, draws 584, objects 2335, primitives 5183, process 15.90ms, physics 1.19ms
  16.1  frame    fps 120, worst frame 25.0ms, draws 594, objects 2612, primitives 5854, process 10.28ms, physics 1.31ms
  16.4  near     dog_walker at (72,102), 102px, exc 0, in 1.3/s (crowd 0.0, events 1.3), sleep 2
  16.4  path     off the corridor at (71,100), after 3.5s on it
  16.4  cross    stepped into the road at (71,100), at a zebra
  16.9  near     dog_walker at (72,102), 55px, exc 1, in 12.1/s (crowd 0.0, events 12.3), sleep 2
  17.1  frame    fps 116, worst frame 16.7ms, draws 368, objects 2064, primitives 4640, process 24.42ms, physics 1.41ms
  17.5  path     onto the corridor at (69,102), after 1.1s off it
  18.1  frame    fps 118, worst frame 8.3ms, draws 292, objects 1893, primitives 4375, process 15.34ms, physics 1.34ms
  19.1  frame    fps 120, worst frame 16.7ms, draws 252, objects 1823, primitives 4067, process 10.87ms, physics 1.34ms
  20.1  frame    fps 119, worst frame 16.7ms, draws 252, objects 1820, primitives 4061, process 15.28ms, physics 1.34ms
  21.1  frame    fps 119, worst frame 8.3ms, draws 260, objects 1579, primitives 3678, process 14.79ms, physics 1.32ms
  22.1  frame    fps 120, worst frame 25.0ms, draws 431, objects 1963, primitives 4315, process 15.09ms, physics 1.45ms
  23.2  frame    fps 116, worst frame 16.7ms, draws 443, objects 1981, primitives 4495, process 24.43ms, physics 1.52ms
  24.2  frame    fps 116, worst frame 25.0ms, draws 448, objects 2253, primitives 5114, process 24.12ms, physics 1.57ms
  24.3  cross    stepped into the road at (60,114), at a zebra
  24.5  crowd    a car sounded its horn at her in the road at (60,114) | exc 0, in 0.3/s (crowd 0.3, events 0.0), sleep 5
  25.0  cue      the mark over her head: soon for 0.5s (0.5s of it on the road) | a car, and she is in the road
  25.2  frame    fps 118, worst frame 8.3ms, draws 455, objects 2289, primitives 5264, process 15.70ms, physics 1.35ms
