nappy run log  2026-09-08T20:48:05  version v0.7.0-43-g1131bba

day 1  act 1  run seed 2468684785  city seed 2468684785  length 180.0s
   0.0  plan     closed: fallen tree v(7,10)
   0.0  plan     calm: 1 park, 2 courtyard, 3 forest, 3 quiet_square
   0.0  plan     events: cafe_tables x121, cat_dash x8, chatting_mother x2, delivery_van x97, dog_walker x21, homeless_yeller x11, leaf_blower x13, loose_dog x15, market_stall x139, pigeon_flock x5, playground
   0.0  start    doorstep (80,84), facing 180°
   1.3  crowd    a car sounded its horn at her in the road at (80,86) | exc 0, in 4.5/s (crowd 4.5, events 0.0), sleep 0
   1.3  cross    stepped into the road at (80,86), mid-block
   1.6  path     0% of her street time on the corridor (0.0s on, 1.5s off, 0.0s off the streets)
   1.6  lost     lost_hard_fail after 1.6s — It never slowed down. You were in the road. | exc 6, in 24.4/s (crowd 24.4, events 0.0), sleep 0 | near: market_stall 298px (out of range)
   1.6  nerve    spent a nerve on day 1 (act 1); 4 left — day 1 again

day 1  act 1  run seed 2468684785  city seed 2468684785  length 180.0s
   0.0  plan     closed: fallen tree v(7,10)
   0.0  plan     calm: 1 park, 2 courtyard, 3 forest, 3 quiet_square
   0.0  plan     events: cafe_tables x121, cat_dash x8, chatting_mother x2, delivery_van x97, dog_walker x21, homeless_yeller x11, leaf_blower x13, loose_dog x15, market_stall x139, pigeon_flock x5, playground
   0.0  start    doorstep (80,84), facing 180°
   0.9  cross    stepped into the road at (79,86), mid-block
   2.9  shot     burst started: asked for an animation burst at (82,88) | exc 2, sleep 1 | playing | asked/burst-10085218-001
   3.6  cross    stepped into the road at (86,88), at a zebra
   4.4  path     onto the corridor at (90,88), after 4.4s off it
   4.5  run      ran 1.7s, exc 0 -> 29, nearest when it started: market_stall 213px (out of range)
   5.5  near     homeless_yeller at (99,87), 209px, exc 27, in 0.1/s (crowd 0.0, events 0.0), sleep 1
   5.9  shot     burst complete: 36 frames | duration
   7.1  turn     doubled back 270°
   8.3  path     off the corridor at (89,88), after 3.9s on it
   8.5  shot     burst started: asked for an animation burst at (89,88) | exc 23, sleep 2 | playing | asked/burst-15638553-002
   8.8  run      ran 0.3s, exc 23 -> 27, nearest when it started: market_stall 182px (out of range)
   8.8  cross    stepped into the road at (87,88), at a zebra
  10.9  freeze   sleep stopped filling | exc 35, in 1.5/s (crowd 1.5, events 0.0), sleep 1 | near: market_stall 181px (out of range)
  11.5  shot     burst complete: 36 frames | duration
