source,native_width,native_height,anchor,alpha_bounds_1x,usage
assets/buildings/fire_escape_a.svg,48,64,bottom centre,4;3;44;61,prepared unbound
assets/buildings/fire_escape_b.svg,48,64,bottom centre,6;2;44;61,prepared unbound
assets/buildings/storefront_a.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/buildings/storefront_a_awning.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/buildings/storefront_a_shuttered.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/buildings/storefront_b.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/buildings/storefront_b_awning.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/buildings/storefront_b_shuttered.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/buildings/storefront_c.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/buildings/storefront_c_awning.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/buildings/storefront_c_shuttered.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/buildings/storefront_d.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/buildings/storefront_d_awning.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/buildings/storefront_d_shuttered.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/buildings/window_shuttered_dark.svg,32,32,tile origin,6;6;26;27,prepared unbound
assets/buildings/window_shuttered_lit.svg,32,32,tile origin,6;6;26;27,prepared unbound
assets/buildings/window_tall_dark.svg,32,32,tile origin,5;3;27;30,prepared unbound
assets/buildings/window_tall_lit.svg,32,32,tile origin,5;3;27;30,prepared unbound
assets/events/explosion_preview.svg,40,40,bottom centre,0;1;40;40,prepared unbound
assets/events/steam.svg,32,48,bottom centre,3;8;29;48,prepared unbound
assets/interior/basement_floor.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/interior/basement_floor_edge_e.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/interior/basement_floor_edge_n.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/interior/basement_floor_edge_s.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/interior/basement_floor_edge_w.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/interior/basement_wall_brick.svg,32,32,tile origin,0;0;32;32,prepared unbound
assets/interior/chandelier.svg,32,48,bottom centre,0;0;32;43,prepared unbound
assets/interior/emergency_exit_door.svg,24,42,bottom centre,0;1;24;42,prepared unbound
assets/interior/entrance_barricade.svg,48,30,bottom centre,2;0;46;30,prepared unbound
assets/interior/entrance_door.svg,42,44,bottom centre,0;1;42;44,prepared unbound
assets/interior/hallway_floor.svg,32,32,tile origin,0;0;32;32,prepared unbound
